Sigla OACI;DescriÁ„o;Cidade;UF;PaÌs;Continente
KIAH;GEORGE BUSH INTERCONTINENTAL AIRPORT;HOUSTON;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KILN;AIRBORNE AIRPARK;;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KIND;INDIANAPOLIS INTERNATIONAL AIRPORT;INDIANAPOLIS/INTL.IN;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KJAX;JACKSONVILLE INTERNATIONAL AIRPORT;JACKSONVILLE/INTL.FL.;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KJFK;JOHN F. KENNEDY INTERNATIONAL AIRPORT;NEW YORK;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KLAS;MCCARRAN INTERNATIONAL AIRPORT;LAS VEGAS/MCCARRAN INTL;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KLAX;LOS ANGELES INTERNATIONAL AIRPORT;LOS ANGELES;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KLCH;LAKE CHARLES REGIONAL AIRPORT;LAKE CHARLES;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KLCQ;LAKE CITY GATEWAY AIRPORT;LAKE CITY MUNI;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KLIT;CLINTON NATIONAL AIRPORT/ADAMS FIELD;LITTLE ROCK;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KMCI;KANSAS CITY INTERNATIONAL AIRPORT;KANSAS CITY, MISSOURI;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KMCO;ORLANDO INTERNATIONAL AIRPORT;ORLANDO;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KMEM;MEMPHIS INTERNATIONAL AIRPORT;MENPHIS;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KMIA;MIAMI INTERNATIONAL AIRPORT;MIAMI;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KMSY;LOUIS ARMSTRONG INTERNATIONAL AIRPORT;NEW ORLEANS/INTL;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KMZJ;PINAL AIRPARK;PINAL;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KOKC;WILL ROGERS WORLD AIRPORT;OKLAHOMA;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KONT;ONTARIO INTERNATIONAL AIRPORT;ONTARIO INTL;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KOPF;OPA-LOCKA AIRPORT;MIAMI;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KORD;O¬¥HARE INTERNATIONAL AIRPORT;CHICAGO;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KORL;ORLANDO EXECUTIVE AIRPORT;;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KPAE;SNOHOMISH COUNTY AIRPORT (PAINE FIELD);EVERETT/SNOHOMISH;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KPBI;PALM BEACH INTERNATIONAL AIRPORT;PALM BEACH INTL;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KPDX;PORTLAND INTERNATIONAL AIRPORT;;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KPHL;PHILADELPHIA INTERNATIONAL AIRPORT;PHILADELPHIA-INTL;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KPHX;PHOENIX SKY HARBOR INTERNATIONAL AIRPORT;ARIZONA PHENIX -  USA;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KRFD;CHICAGO ROCKFORD INTERNATIONAL AIRPORT;CHICAGO;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KRIV;MARCH AIR RESERVE BASE;;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KRME;GRIFFISS AIRPORT;ROME;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KROW;ROSWELL INTERNATIONAL AIR CENTER AIRPORT;ROSWELL/INDUSTRIAL;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KRSW;SOUTHWEST FLORIDA INTERNATIONAL AIRPORT;;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KSAN;SAN DIEGO INTERNATIONAL AIRPORT (LINDBERGH FIELD);;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KSAT;SAN ANTONIO INTERNATIONAL AIRPORT;SAN ANTONIO/INTL, TX;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KSBD;SAN BERNARDINO INTERNATIONAL AIRPORT;;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KSEA;SEATTLE-TACOMA INTERNATIONAL AIRPORT;SEATTLE/SEATTLE-TACOMA INTL;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KSFB;ORLANDO SANFORD INTERNATIONAL AIRPORT;STANFORD;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KSFO;SAN FRANCISCO INTERNATIONAL AIRPORT;SAN FRANCISCO;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KSJC;NORMAN Y. MINETA SAN JOS√â INTERNATIONAL AIRPORT;;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KSTL;LAMBERT SAINT LOUIS INTERNATIONAL AIRPORT;ST. LOUIS;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KSUU;TRAVIS AIR FORCE BASE;FAIRFIELD;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KTPA;TAMPA INTERNATIONAL AIRPORT;TAMPA;N/I;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KTUL;TULSA INTERNATIONAL AIRPORT;TULSA/INTL;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KTUS;TUCSON INTERNATIONAL AIRPORT;TUCSON/INTL;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KVCV;SOUTHERN CALIFORNIA LOGISTICS AIRPORT;SOUTHERN CALIFORNIA INTL;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KWRI;MCGUIRE AIR FORCE BASE;WRIGHTSTOWN;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
LBSF;SOFIA INTERNATIONAL AIRPORT (VRAZHDEBNA);SOFIA;;BULGARIA;EUROPA
LEBL;BARCELONA-EL PRAT AIRPORT;BARCELONA;;ESPANHA;EUROPA
LEMD;ADOLFO SU√ÅREZ MADRID-BARAJAS AIRPORT;MADRID;;ESPANHA;EUROPA
LEMG;M√ÅLAGA-COSTA DEL SOL AIRPORT;M¡LAGA;;ESPANHA;EUROPA
LEPA;PALMA DE MALLORCA AIRPORT;PALMA DE MALLORCA;;ESPANHA;EUROPA
LESA;MATAC√ÅN AIRPORT;SALAMANCA;;ESPANHA;EUROPA
LEST;SANTIAGO DE COMPOSTELA AIRPORT;;;ESPANHA;EUROPA
LETO;MADRID-TORREJ√ìN AIRPORT;MADRID-TORREJON;;ESPANHA;EUROPA
LEVC;VALENCIA AIRPORT;VALENCIA;;ESPANHA;EUROPA
LEVT;VITORIA AIRPORT;;;ESPANHA;EUROPA
LEZG;ZARAGOZA AIRPORT;ZARAGOZA;;ESPANHA;EUROPA
LEZL;SAN PABLO AIRPORT;SEVILLA;;ESPANHA;EUROPA
LFBD;BORDEAUX M√âRIGNAC AIRPORT;BORDEAUX;;FRANCA;EUROPA
LFBF;FRANCAZAL;TOULOUSE;;FRANCA;EUROPA
LFBO;TOULOUSE - BLAGNAC AIRPORT;TOULOUSE/BLAGNAC;;FRANCA;EUROPA
LFBT;TARBES - LOURDES PYRENEES AIRPORT;TARBES;;FRANCA;EUROPA
LFCF;FIGEAC;FIGEAC;;FRANCA;EUROPA
LFML;MARSEILLE PROVENCE AIRPORT;MARSEILLE;;FRANCA;EUROPA
LFMT;MONTPELLIER-M√âDITERRAN√âE AIRPORT;MONTPELLIER;;FRANCA;EUROPA
LFOG;FLERS SAINT-PAUL AIRPORT;;;FRANCA;EUROPA
LFOK;CH√ÇLONS VATRY AIRPORT;CHALONS-VATRY;;FRANCA;EUROPA
LFPB;PARIS LE BOURGET AIRPORT;PARISñLE BOURGET;;FRANCA;EUROPA
LFPF;BEYNES THIVERVAL AIRPORT;;;FRANCA;EUROPA
LFPG;PARIS-CHARLES DE GAULLE AIRPORT (ROISSY AIRPORT);PARIS;;FRANCA;EUROPA
LFPO;PARIS ORLY AIRPORT;PARIS;;FRANCA;EUROPA
LFRS;NANTES ATLANTIQUE AIRPORT (FORMERLY A√âROPORT CH√ÇTEAU BOUGON);;;FRANCA;EUROPA
LFSB;EUROAIRPORT BASEL-MULHOUSE-FREIBURG;;;FRANCA;EUROPA
LFTW;N√éMES-AL√àS-CAMARGUE-C√âVENNES AIRPORT (GARONS AIRPORT);NIMES-GARONS;;FRANCA;EUROPA
LGAT;ELLINIKON INTERNACIONAL AIRPORT;ATENAS;;FRANCA;EUROPA
LHBP;LISZT FERENC INTERNATIONAL AIRPORT;BUDAPESTE;;HUNGRIA;EUROPA
LIBR;CASALE AIRPORT;BRINDISI;;ITALIA;EUROPA
LICJ;PALERMO AIRPORT (PUNTA RAISI AIRPORT);PALERMO PUNTA RAISI;;ITALIA;EUROPA
LIMC;MALPENSA INTERNATIONAL AIRPORT;MILAO;;ITALIA;EUROPA
LIMF;TURIN INTERNATIONAL AIRPORT (TORINO CASELLE AIRPORT);TORINO/CASELLE;;ITALIA;EUROPA
LIMJ;GENOA CRISTOFORO COLOMBO AIRPORT (SESTRI AIRPORT);GENOVA;;ITALIA;EUROPA
LIML;LINATE AIRPORT;;;ITALIA;EUROPA
LIPO;BRESCIA AIRPORT GABRIELE D ANNUNZIO;MONTICHIARI;;ITALIA;EUROPA
LIRA;CIAMPINO AIRPORT (GIOVAN BATTISTA PASTINE AIRPORT);ROMA CIAMPINO;;ITALIA;EUROPA
LIRF;LEONARDO DA VINCI INTERNATIONAL AIRPORT (FIUMICINO INTERNATIONAL AIRPORT);ROMA;;ITALIA;EUROPA
LIRN;NAPLES INTERNATIONAL AIRPORT (CAPODICHINO AIRPORT);NAPOLI;;ITALIA;EUROPA
LKMT;OSTRAVA-MO≈†NOV INTERNATIONAL AIRPORT;;;REPUBLICA TCHECA;EUROPA
LLAZ;GAZA AIRSTRIP (FORMERLY GUSH KATIF AIRPORT);;;ISRAEL;ASIA
LLBG;BEN GURION INTERNATIONAL AIRPORT;TEL AVIV;;ISRAEL;ASIA
LMML;MALTA INTERNATIONAL AIRPORT (LUQA AIRPORT);LUGA;;MALTA;EUROPA
LPAR;ALVERCA AB;ALVERCA;;PORTUGAL;EUROPA
LPAZ;SANTA MARIA AIRPORT;;;PORTUGAL;EUROPA
LPFR;FARO / MADEIRA AND ACORES;FARO / MADEIRA AND ACORES;;PORTUGAL;EUROPA
LPFU;AEROPORTO DE MADEIRA;FUNCHAL;;PORTUGAL;EUROPA
LPLA;LAJES AIR BASE INT.;;;PORTUGAL;EUROPA
LPPR;PORTO;PORTO;;PORTUGAL;EUROPA
LPPS;PORTO SANTO AIRPORT;;;PORTUGAL;EUROPA
LPPT;LISBOA;LISBOA;;PORTUGAL;EUROPA
LSGG;GENEVA COINTRIN INTERNATIONAL AIRPORT;GENEBRA;;SU√ç√áA;EUROPA
LSZH;Z√úRICH AIRPORT (KLOTEN AIRPORT);ZURIQUE;;SU√ç√áA;EUROPA
LTAI;ANTALYA AIRPORT;ANTALYA;;TURQUIA;EUROPA
LTBA;ATAT√úRK INTERNATIONAL AIRPORT;ISTANBUL/ATATURK;;TURQUIA;EUROPA
LTFJ;SABIHA G√ñK√áEN INTERNATIONAL AIRPORT;ISTAMBUL;;TURQUIA;EUROPA
LZIB;MILAN RASTISLAV ≈†TEF√ÅNIK AIRPORT (BRATISLAVA AIRPORT);BRATISLAVA IVANCA;;ESLOV√ÅQUIA;EUROPA
